id,postal_cd,country_cd,city_name,state_abbrv,latitude,longitude
2058,06001,US,Avon,CT,41.7916300000,-72.8545260000
2059,06002,US,Bloomfield,CT,41.8529810000,-72.7360050000
2060,06006,US,Windsor,CT,41.8525000000,-72.6443000000
2061,06010,US,Bristol,CT,41.6813680000,-72.9404900000
2062,06011,US,Bristol,CT,41.6714000000,-72.9494000000
2063,06013,US,Burlington,CT,41.7613120000,-72.9572200000
2064,06016,US,Broad Brook,CT,41.9076560000,-72.5516540000
2065,06018,US,Canaan,CT,42.0245470000,-73.2962780000
2066,06019,US,Canton,CT,41.8631200000,-72.9134040000
2067,06020,US,Canton Center,CT,41.8742960000,-72.8993380000
2068,06021,US,Colebrook,CT,42.0150500000,-73.1056940000
2069,06022,US,Collinsville,CT,41.8158320000,-72.9417740000
2070,06023,US,East Berlin,CT,41.6158780000,-72.7203820000
2071,06024,US,East Canaan,CT,42.0122160000,-73.2850000000
2072,06025,US,East Glastonbury,CT,41.6972000000,-72.5347000000
2073,06026,US,East Granby,CT,41.9393130000,-72.7361180000
2074,06027,US,East Hartland,CT,42.0042900000,-72.9148850000
2075,06028,US,East Windsor Hill,CT,41.8478000000,-72.5961000000
2076,06029,US,Ellington,CT,41.9070380000,-72.4228110000
2077,06030,US,Farmington,CT,41.7197000000,-72.8326000000
2078,06031,US,Falls Village,CT,41.9469850000,-73.3088420000
2079,06032,US,Farmington,CT,41.7249620000,-72.8276480000
2080,06033,US,Glastonbury,CT,41.6999790000,-72.5504190000
2081,06034,US,Farmington,CT,41.7197000000,-72.8326000000
2082,06035,US,Granby,CT,41.9600940000,-72.7993480000
2083,06037,US,Berlin,CT,41.6034210000,-72.7760830000
2084,06039,US,Lakeville,CT,41.9507470000,-73.4287770000
2085,06040,US,Manchester,CT,41.7622220000,-72.5226550000
2086,06041,US,Manchester,CT,41.7759000000,-72.5219000000
2087,06042,US,Manchester,CT,41.8002600000,-72.5275730000
2088,06043,US,Bolton,CT,41.7664140000,-72.4388890000
2089,06045,US,Manchester,CT,41.7759000000,-72.5219000000
2090,06050,US,New Britain,CT,41.6612000000,-72.7801000000
2091,06051,US,New Britain,CT,41.6674470000,-72.7702140000
2092,06052,US,New Britain,CT,41.6571180000,-72.8036420000
2093,06053,US,New Britain,CT,41.6902590000,-72.7910840000
2094,06057,US,New Hartford,CT,41.8467080000,-73.0075400000
2095,06058,US,Norfolk,CT,41.9572520000,-73.2009520000
2096,06059,US,North Canton,CT,41.9601380000,-72.9434580000
2097,06060,US,North Granby,CT,41.9967840000,-72.8434890000
2098,06061,US,Pine Meadow,CT,41.8757000000,-72.9667000000
2099,06062,US,Plainville,CT,41.6738170000,-72.8541600000
2100,06063,US,Barkhamsted,CT,41.9265580000,-72.9709560000
2101,06064,US,Poquonock,CT,41.9048000000,-72.6795000000
2102,06065,US,Riverton,CT,41.9761570000,-73.0072640000
2103,06066,US,Vernon Rockville,CT,41.8364540000,-72.4632950000
2104,06067,US,Rocky Hill,CT,41.6563960000,-72.6698860000
2105,06068,US,Salisbury,CT,42.0081990000,-73.4159420000
2106,06069,US,Sharon,CT,41.8555940000,-73.4342410000
2107,06070,US,Simsbury,CT,41.8683720000,-72.8172140000
2108,06071,US,Somers,CT,41.9908120000,-72.4364530000
2109,06072,US,Somersville,CT,41.9828000000,-72.4884000000
2110,06073,US,South Glastonbury,CT,41.6456140000,-72.5663520000
2111,06074,US,South Windsor,CT,41.8339660000,-72.5716890000
2112,06075,US,Stafford,CT,41.9848000000,-72.2896000000
2113,06076,US,Stafford Springs,CT,41.9864930000,-72.2534580000
2114,06077,US,Staffordville,CT,41.9938000000,-72.2594000000
2115,06078,US,Suffield,CT,41.9895070000,-72.6539760000
