id,postal_cd,country_cd,city_name,state_abbrv,latitude,longitude
13483,32003,US,Fleming Island,FL,30.0965840000,-81.7189080000
13484,32004,US,Ponte Vedra Beach,FL,30.2396000000,-81.3855000000
13485,32006,US,Fleming Island,FL,30.1070000000,-81.7170000000
13486,32007,US,Bostwick,FL,29.7739000000,-81.6373000000
13487,32008,US,Branford,FL,29.9100630000,-82.8735840000
13488,32009,US,Bryceville,FL,30.4234220000,-81.9422670000
13489,32011,US,Callahan,FL,30.5816550000,-81.8136980000
13490,32013,US,Day,FL,30.1911240000,-83.2968120000
13491,32024,US,Lake City,FL,30.0631280000,-82.7186600000
13492,32025,US,Lake City,FL,30.0634080000,-82.5692130000
13493,32026,US,Raiford,FL,30.0639000000,-82.2373000000
13494,32030,US,Doctors Inlet,FL,30.1003000000,-81.7766000000
13495,32033,US,Elkton,FL,29.7895040000,-81.4487850000
13496,32034,US,Fernandina Beach,FL,30.6201900000,-81.5056120000
13497,32035,US,Fernandina Beach,FL,30.6697000000,-81.4629000000
13498,32038,US,Fort White,FL,29.9257180000,-82.7042960000
13499,32040,US,Glen Saint Mary,FL,30.2855520000,-82.2106340000
13500,32041,US,Yulee,FL,30.6324000000,-81.6068000000
13501,32042,US,Graham,FL,29.8603000000,-82.2189000000
13502,32043,US,Green Cove Springs,FL,29.9428770000,-81.7392860000
13503,32044,US,Hampton,FL,29.8468700000,-82.1534740000
13504,32046,US,Hilliard,FL,30.6755700000,-81.8801990000
13505,32050,US,Middleburg,FL,30.0689000000,-81.8609000000
13506,32052,US,Jasper,FL,30.4925220000,-82.9528180000
13507,32053,US,Jennings,FL,30.5573170000,-83.1473240000
13508,32054,US,Lake Butler,FL,30.0313560000,-82.3814900000
13509,32055,US,Lake City,FL,30.3872440000,-82.6259800000
13510,32056,US,Lake City,FL,30.1894000000,-82.6394000000
13511,32058,US,Lawtey,FL,30.0678260000,-82.1061240000
13512,32059,US,Lee,FL,30.3663070000,-83.2584520000
13513,32060,US,Live Oak,FL,30.2683190000,-83.0316440000
13514,32061,US,Lulu,FL,30.0617720000,-82.5250840000
13515,32062,US,Mc Alpin,FL,30.1319590000,-82.9815240000
13516,32063,US,Macclenny,FL,30.2735910000,-82.1244420000
13517,32064,US,Live Oak,FL,30.2940230000,-82.9878100000
13518,32065,US,Orange Park,FL,30.1479980000,-81.7941200000
13519,32066,US,Mayo,FL,29.9758660000,-83.1502820000
13520,32067,US,Orange Park,FL,30.1658000000,-81.7068000000
13521,32068,US,Middleburg,FL,30.0834280000,-81.8658620000
13522,32071,US,O Brien,FL,30.0341000000,-82.9467480000
13523,32072,US,Olustee,FL,30.2256890000,-82.4234860000
13524,32073,US,Orange Park,FL,30.1653820000,-81.7515340000
13525,32079,US,Penney Farms,FL,29.9798980000,-81.8086060000
13526,32080,US,Saint Augustine,FL,29.7835940000,-81.2600420000
13527,32081,US,Ponte Vedra,FL,30.1267250000,-81.4324760000
13528,32082,US,Ponte Vedra Beach,FL,30.1036290000,-81.3701650000
13529,32083,US,Raiford,FL,30.0900350000,-82.1893960000
13530,32084,US,Saint Augustine,FL,29.9003820000,-81.3470820000
13531,32085,US,Saint Augustine,FL,29.8944000000,-81.3144000000
13532,32086,US,Saint Augustine,FL,29.7615230000,-81.2962620000
13533,32087,US,Sanderson,FL,30.3603610000,-82.3302420000
13534,32091,US,Starke,FL,29.9329510000,-82.0703740000
13535,32092,US,Saint Augustine,FL,29.9123190000,-81.5426790000
13536,32094,US,Wellborn,FL,30.1945990000,-82.8521100000
13537,32095,US,Saint Augustine,FL,30.0311270000,-81.4056340000
13538,32096,US,White Springs,FL,30.3682740000,-82.7694300000
13539,32097,US,Yulee,FL,30.6452640000,-81.6360940000
13540,32099,US,Jacksonville,FL,30.3383000000,-81.7706000000
13541,32102,US,Astor,FL,29.1747190000,-81.5527510000
13542,32105,US,Barberville,FL,29.1869000000,-81.4211000000
13543,32110,US,Bunnell,FL,29.4419020000,-81.3396180000
13544,32111,US,Candler,FL,29.0717000000,-81.9628000000
13545,32112,US,Crescent City,FL,29.4154340000,-81.6048040000
13546,32113,US,Citra,FL,29.4076060000,-82.1107080000
13547,32114,US,Daytona Beach,FL,29.1929520000,-81.0532920000
13548,32115,US,Daytona Beach,FL,29.2107000000,-81.0232000000
13549,32116,US,Daytona Beach,FL,29.2107000000,-81.0232000000
13550,32117,US,Daytona Beach,FL,29.2359160000,-81.0574940000
13551,32118,US,Daytona Beach,FL,29.2020990000,-80.9984200000
13552,32119,US,Daytona Beach,FL,29.1566450000,-81.0321900000
13553,32120,US,Daytona Beach,FL,29.2107000000,-81.0232000000
13554,32121,US,Daytona Beach,FL,29.2107000000,-81.0232000000
13555,32122,US,Daytona Beach,FL,29.2107000000,-81.0232000000
13556,32123,US,Port Orange,FL,29.2107000000,-81.0232000000
13557,32124,US,Daytona Beach,FL,29.1308120000,-81.1488100000
13558,32125,US,Daytona Beach,FL,29.2107000000,-81.0232000000
13559,32126,US,Daytona Beach,FL,29.2107000000,-81.0232000000
13560,32127,US,Port Orange,FL,29.1140390000,-80.9740330000
13561,32128,US,Port Orange,FL,29.1011580000,-81.0462460000
13562,32129,US,Port Orange,FL,29.1379870000,-81.0185240000
13563,32130,US,De Leon Springs,FL,29.1626680000,-81.3250620000
13564,32131,US,East Palatka,FL,29.6817340000,-81.5797060000
13565,32132,US,Edgewater,FL,28.9783550000,-80.9249560000
13566,32133,US,Eastlake Weir,FL,29.0200000000,-81.9085000000
13567,32134,US,Fort Mc Coy,FL,29.3443310000,-81.8597260000
13568,32135,US,Palm Coast,FL,29.4748000000,-81.1274000000
13569,32136,US,Flagler Beach,FL,29.4697750000,-81.1418920000
13570,32137,US,Palm Coast,FL,29.5724660000,-81.3150470000
13571,32138,US,Grandin,FL,29.7119510000,-81.9321220000
13572,32139,US,Georgetown,FL,29.3762060000,-81.6060240000
13573,32140,US,Florahome,FL,29.7591460000,-81.8559390000
13574,32141,US,Edgewater,FL,28.9184670000,-80.9033550000
13575,32142,US,Palm Coast,FL,29.4748000000,-81.1274000000
13576,32143,US,Palm Coast,FL,,
13577,32145,US,Hastings,FL,29.6876890000,-81.4082600000
13578,32147,US,Hollister,FL,29.6409380000,-81.7871440000
13579,32148,US,Interlachen,FL,29.6000130000,-81.8181410000
13580,32149,US,Edgar,FL,29.5949000000,-81.9506000000
13581,32157,US,Lake Como,FL,29.4619740000,-81.5737480000
13582,32158,US,Lady Lake,FL,28.9173000000,-81.9232000000
13583,32159,US,Lady Lake,FL,28.9237820000,-81.9174360000
13584,32160,US,Lake Geneva,FL,29.7718000000,-82.0105000000
13585,32162,US,The Villages,FL,28.9178560000,-82.0014420000
13586,32163,US,The Villages,FL,,
13587,32164,US,Palm Coast,FL,29.4803000000,-81.2139520000
13588,32168,US,New Smyrna Beach,FL,28.9705660000,-81.0498460000
13589,32169,US,New Smyrna Beach,FL,28.9770520000,-80.8617930000
13590,32170,US,New Smyrna Beach,FL,29.0257000000,-80.9273000000
13591,32173,US,Ormond Beach,FL,29.2856000000,-81.0563000000
13592,32174,US,Ormond Beach,FL,29.2992260000,-81.1865020000
13593,32175,US,Ormond Beach,FL,29.2856000000,-81.0563000000
13594,32176,US,Ormond Beach,FL,29.3460480000,-81.0676040000
13595,32177,US,Palatka,FL,29.6826240000,-81.6936790000
13596,32178,US,Palatka,FL,29.6484000000,-81.6378000000
13597,32179,US,Ocklawaha,FL,29.0935870000,-81.9009730000
13598,32180,US,Pierson,FL,29.2151320000,-81.4819700000
13599,32181,US,Pomona Park,FL,29.5102040000,-81.6046180000
13600,32182,US,Orange Springs,FL,29.4967260000,-81.9560190000
13601,32183,US,Ocklawaha,FL,29.0846470000,-81.8336200000
13602,32185,US,Putnam Hall,FL,29.7427240000,-81.9590120000
13603,32187,US,San Mateo,FL,29.5655780000,-81.5712920000
13604,32189,US,Satsuma,FL,29.5418170000,-81.6168960000
13605,32190,US,Seville,FL,29.3359900000,-81.5500000000
13606,32192,US,Sparr,FL,29.3385000000,-82.1128000000
