id,postal_cd,country_cd,city_name,state_abbrv,latitude,longitude
8350,20588,US,DHS,MD,,
8358,20601,US,Waldorf,MD,38.6136610000,-76.8705300000
8359,20602,US,Waldorf,MD,38.5864700000,-76.8989350000
8360,20603,US,Waldorf,MD,38.6258910000,-76.9782800000
8361,20604,US,Waldorf,MD,38.6247000000,-76.9395000000
8362,20606,US,Abell,MD,38.2506900000,-76.7486080000
8363,20607,US,Accokeek,MD,38.6602820000,-77.0010330000
8364,20608,US,Aquasco,MD,38.5818770000,-76.7117820000
8365,20609,US,Avenue,MD,38.2692800000,-76.7497180000
8366,20610,US,Barstow,MD,38.5243000000,-76.6167000000
8367,20611,US,Bel Alton,MD,38.4667910000,-76.9745450000
8368,20612,US,Benedict,MD,38.5157280000,-76.6773960000
8369,20613,US,Brandywine,MD,38.6505500000,-76.8144810000
8370,20615,US,Broomes Island,MD,38.4151240000,-76.5472540000
8371,20616,US,Bryans Road,MD,38.6538450000,-77.0920660000
8372,20617,US,Bryantown,MD,38.5420980000,-76.8602640000
8373,20618,US,Bushwood,MD,38.2919460000,-76.7955600000
8374,20619,US,California,MD,38.2894490000,-76.5307670000
8375,20620,US,Callaway,MD,38.2313680000,-76.5228680000
8376,20621,US,Chaptico,MD,38.3306980000,-76.7965960000
8377,20622,US,Charlotte Hall,MD,38.4476450000,-76.8234420000
8378,20623,US,Cheltenham,MD,38.7435660000,-76.8390130000
8379,20624,US,Clements,MD,38.3326320000,-76.7351270000
8380,20625,US,Cobb Island,MD,38.2624710000,-76.8509060000
8381,20626,US,Coltons Point,MD,38.2166840000,-76.7984730000
8382,20627,US,Compton,MD,38.2733000000,-76.6944000000
8383,20628,US,Dameron,MD,38.1489900000,-76.3491960000
8384,20629,US,Dowell,MD,38.3371060000,-76.4536990000
8385,20630,US,Drayden,MD,38.1635590000,-76.4756670000
8386,20632,US,Faulkner,MD,38.4331720000,-76.9644800000
8387,20634,US,Great Mills,MD,38.2430810000,-76.4942390000
8388,20635,US,Helen,MD,38.3989000000,-76.7199000000
8389,20636,US,Hollywood,MD,38.3499680000,-76.5738920000
8390,20637,US,Hughesville,MD,38.5235520000,-76.7863250000
8391,20639,US,Huntingtown,MD,38.6101040000,-76.5988680000
8392,20640,US,Indian Head,MD,38.5611430000,-77.1696830000
8393,20643,US,Ironsides,MD,38.4918000000,-77.1600000000
8394,20645,US,Issue,MD,38.2821720000,-76.9552820000
8395,20646,US,La Plata,MD,38.5118380000,-77.0067600000
8396,20650,US,Leonardtown,MD,38.2630750000,-76.6328990000
8397,20653,US,Lexington Park,MD,38.2414570000,-76.4305250000
8398,20656,US,Loveville,MD,38.3552920000,-76.6744620000
8399,20657,US,Lusby,MD,38.3778570000,-76.4432600000
8400,20658,US,Marbury,MD,38.5708780000,-77.1579560000
8401,20659,US,Mechanicsville,MD,38.4232410000,-76.6985000000
8402,20660,US,Morganza,MD,38.3756000000,-76.6958000000
8403,20661,US,Mount Victoria,MD,38.3533000000,-76.8961000000
8404,20662,US,Nanjemoy,MD,38.4334020000,-77.2193600000
8405,20664,US,Newburg,MD,38.3176380000,-76.9312820000
8406,20667,US,Park Hall,MD,38.2165540000,-76.4419540000
8407,20670,US,Patuxent River,MD,38.2859400000,-76.4186280000
8408,20674,US,Piney Point,MD,38.0885140000,-76.5345820000
8409,20675,US,Pomfret,MD,38.5818900000,-77.0117330000
8410,20676,US,Port Republic,MD,38.4950720000,-76.5446490000
8411,20677,US,Port Tobacco,MD,38.4964920000,-77.0435440000
8412,20678,US,Prince Frederick,MD,38.5087540000,-76.5955540000
8413,20680,US,Ridge,MD,38.1227970000,-76.3690300000
8414,20682,US,Rock Point,MD,38.2726000000,-76.8386000000
8415,20684,US,Saint Inigoes,MD,38.1402640000,-76.4082280000
8416,20685,US,Saint Leonard,MD,38.4332310000,-76.5327140000
8417,20686,US,Saint Marys City,MD,38.1867000000,-76.4348000000
8418,20687,US,Scotland,MD,38.0004780000,-76.3455430000
8419,20688,US,Solomons,MD,38.3295540000,-76.4678840000
8420,20689,US,Sunderland,MD,38.6631910000,-76.5860790000
8421,20690,US,Tall Timbers,MD,38.1576560000,-76.5279740000
8422,20692,US,Valley Lee,MD,38.1860380000,-76.5066410000
8423,20693,US,Welcome,MD,38.4398970000,-77.0897700000
8424,20695,US,White Plains,MD,38.5842820000,-76.9767140000
8425,20697,US,Southern Md Facility,MD,39.0314000000,-76.9083000000
8426,20701,US,Annapolis Junction,MD,39.1292280000,-76.7892120000
8427,20703,US,Lanham,MD,38.9666000000,-76.8622000000
8428,20704,US,Beltsville,MD,39.0347000000,-76.9076000000
8429,20705,US,Beltsville,MD,39.0432210000,-76.8861230000
8430,20706,US,Lanham,MD,38.9606590000,-76.8547330000
8431,20707,US,Laurel,MD,39.0969240000,-76.8829790000
8432,20708,US,Laurel,MD,39.0510060000,-76.8314800000
8433,20709,US,Laurel,MD,39.0995000000,-76.8486000000
8434,20710,US,Bladensburg,MD,38.9433910000,-76.9254600000
8435,20711,US,Lothian,MD,38.8009440000,-76.6447300000
8436,20712,US,Mount Rainier,MD,38.9427810000,-76.9665580000
8437,20714,US,North Beach,MD,38.7167660000,-76.5359690000
8438,20715,US,Bowie,MD,38.9926360000,-76.7389400000
8439,20716,US,Bowie,MD,38.9266830000,-76.7118040000
8440,20717,US,Bowie,MD,39.0064000000,-76.7795000000
8441,20718,US,Bowie,MD,39.0064000000,-76.7795000000
8442,20719,US,Bowie,MD,39.0064000000,-76.7795000000
8443,20720,US,Bowie,MD,38.9950050000,-76.7900130000
8444,20721,US,Bowie,MD,38.9185300000,-76.7861250000
8445,20722,US,Brentwood,MD,38.9347340000,-76.9503980000
8446,20723,US,Laurel,MD,39.1402860000,-76.8673780000
8447,20724,US,Laurel,MD,39.0955360000,-76.8021000000
8448,20725,US,Laurel,MD,39.0995000000,-76.8486000000
8449,20726,US,Laurel,MD,39.0995000000,-76.8486000000
