id,postal_cd,country_cd,city_name,state_abbrv,latitude,longitude
8074,20101,US,Dulles,VA,39.3355000000,-77.8426000000
8075,20102,US,Dulles,VA,38.9548670000,-77.4505150000
8076,20103,US,Dulles,VA,39.3214000000,-77.5365000000
8077,20104,US,Dulles,VA,39.3214000000,-77.5365000000
8078,20105,US,Aldie,VA,38.9608320000,-77.6043500000
8079,20106,US,Amissville,VA,38.6943560000,-77.9992640000
8080,20108,US,Manassas,VA,38.7657000000,-77.4852000000
8081,20109,US,Manassas,VA,38.7936880000,-77.5364500000
8082,20110,US,Manassas,VA,38.7462160000,-77.4891060000
8083,20111,US,Manassas,VA,38.7531980000,-77.4299540000
8084,20112,US,Manassas,VA,38.6648400000,-77.4339000000
8085,20113,US,Manassas,VA,38.7325000000,-77.4460000000
8086,20115,US,Marshall,VA,38.8378360000,-77.8986140000
8087,20116,US,Marshall,VA,38.7975000000,-77.9024000000
8088,20117,US,Middleburg,VA,38.9950290000,-77.7369670000
8089,20118,US,Middleburg,VA,38.9490090000,-77.7587040000
8090,20119,US,Catlett,VA,38.6261060000,-77.6251410000
8091,20120,US,Centreville,VA,38.8598100000,-77.4666160000
8092,20121,US,Centreville,VA,38.8158940000,-77.4608490000
8093,20122,US,Centreville,VA,38.8397000000,-77.4278000000
8094,20124,US,Clifton,VA,38.7759730000,-77.3880660000
8095,20128,US,Orlean,VA,38.7508000000,-77.9626000000
8096,20129,US,Paeonian Springs,VA,39.1634440000,-77.6012070000
8097,20130,US,Paris,VA,39.0305540000,-77.9367540000
8098,20131,US,Philomont,VA,39.0563000000,-77.7409000000
8099,20132,US,Purcellville,VA,39.1739580000,-77.7325300000
8100,20134,US,Purcellville,VA,39.1337000000,-77.7065000000
8101,20135,US,Bluemont,VA,39.0906310000,-77.8887660000
8102,20136,US,Bristow,VA,38.7366140000,-77.5466420000
8103,20137,US,Broad Run,VA,38.8087120000,-77.7255920000
8104,20138,US,Calverton,VA,38.6276410000,-77.6665720000
8105,20139,US,Casanova,VA,38.6447980000,-77.6971600000
8106,20140,US,Rectortown,VA,38.9265980000,-77.8672630000
8107,20141,US,Round Hill,VA,39.1079500000,-77.7846220000
8108,20142,US,Round Hill,VA,39.1382000000,-77.7728000000
8109,20143,US,Catharpin,VA,38.8487540000,-77.5661190000
8110,20144,US,Delaplane,VA,38.9291950000,-77.9386790000
8111,20146,US,Ashburn,VA,39.0438000000,-77.4879000000
8112,20147,US,Ashburn,VA,39.0395720000,-77.4816130000
8113,20148,US,Ashburn,VA,39.0014890000,-77.5155880000
8114,20149,US,Ashburn,VA,39.0438000000,-77.4879000000
8115,20151,US,Chantilly,VA,38.8861530000,-77.4509920000
8116,20152,US,Chantilly,VA,38.8922170000,-77.5098270000
8117,20153,US,Chantilly,VA,38.8188000000,-77.2920000000
8118,20155,US,Gainesville,VA,38.8132920000,-77.6339410000
8119,20156,US,Gainesville,VA,38.8283000000,-77.6248000000
8120,20158,US,Hamilton,VA,39.1395260000,-77.6548630000
8121,20159,US,Hamilton,VA,39.1344000000,-77.6697000000
8122,20160,US,Lincoln,VA,39.1153000000,-77.6916000000
8123,20163,US,Sterling,VA,39.0060000000,-77.4290000000
8124,20164,US,Sterling,VA,39.0141270000,-77.3999120000
8125,20165,US,Sterling,VA,39.0473570000,-77.3864790000
8126,20166,US,Sterling,VA,38.9828340000,-77.4715240000
8127,20167,US,Sterling,VA,39.0062000000,-77.4288000000
8128,20168,US,Haymarket,VA,38.8726000000,-77.6484000000
8129,20169,US,Haymarket,VA,38.8693580000,-77.6397860000
8130,20170,US,Herndon,VA,38.9837210000,-77.3827580000
8131,20171,US,Herndon,VA,38.9266040000,-77.3911880000
8132,20172,US,Herndon,VA,38.9209000000,-77.3953000000
8133,20175,US,Leesburg,VA,39.0522710000,-77.6035770000
8134,20176,US,Leesburg,VA,39.1600380000,-77.5218520000
8135,20177,US,Leesburg,VA,39.1169000000,-77.5564000000
8136,20178,US,Leesburg,VA,39.1169000000,-77.5564000000
8137,20180,US,Lovettsville,VA,39.2687420000,-77.6292550000
8138,20181,US,Nokesville,VA,38.6906270000,-77.5732740000
8139,20182,US,Nokesville,VA,38.6872000000,-77.5498000000
8140,20184,US,Upperville,VA,39.0096480000,-77.8717970000
8141,20185,US,Upperville,VA,38.8788000000,-77.8397000000
8142,20186,US,Warrenton,VA,38.7059460000,-77.8495080000
8143,20187,US,Warrenton,VA,38.7226860000,-77.7413780000
8144,20188,US,Warrenton,VA,38.7217000000,-77.7849000000
8145,20189,US,Dulles,VA,,
8146,20190,US,Reston,VA,38.9609740000,-77.3424670000
8147,20191,US,Reston,VA,38.9311200000,-77.3513940000
8148,20192,US,Herndon,VA,38.9468150000,-77.3649540000
8149,20194,US,Reston,VA,38.9826670000,-77.3414540000
8150,20195,US,Reston,VA,38.9768000000,-77.3485000000
8151,20196,US,Reston,VA,38.9628000000,-77.3372000000
8152,20197,US,Waterford,VA,39.1924090000,-77.6253000000
8153,20198,US,The Plains,VA,38.8781800000,-77.7499000000
8356,20598,US,DHS,VA,,
8962,22003,US,Annandale,VA,38.8377590000,-77.2103280000
8963,22009,US,Burke,VA,38.7935000000,-77.2718000000
8964,22015,US,Burke,VA,38.7853060000,-77.2860750000
8965,22025,US,Dumfries,VA,38.5971620000,-77.3444200000
8966,22026,US,Dumfries,VA,38.5678080000,-77.2966810000
8967,22027,US,Dunn Loring,VA,38.8950340000,-77.2204540000
8968,22030,US,Fairfax,VA,38.8372560000,-77.3420080000
8969,22031,US,Fairfax,VA,38.8589070000,-77.2613580000
8970,22032,US,Fairfax,VA,38.8209520000,-77.2889440000
8971,22033,US,Fairfax,VA,38.8793660000,-77.3767680000
8972,22034,US,Fairfax,VA,38.4515000000,-77.2801000000
8973,22035,US,Fairfax,VA,38.8444000000,-77.3086000000
8974,22036,US,Fairfax,VA,38.8021000000,-77.4302000000
8975,22037,US,Fairfax,VA,38.8596000000,-77.2269000000
8976,22038,US,Fairfax,VA,38.8458000000,-77.3075000000
8977,22039,US,Fairfax Station,VA,38.7549310000,-77.3101580000
8978,22040,US,Falls Church,VA,38.8669000000,-77.1528000000
8979,22041,US,Falls Church,VA,38.8512110000,-77.1447700000
8980,22042,US,Falls Church,VA,38.8629560000,-77.1938720000
8981,22043,US,Falls Church,VA,38.8992880000,-77.1913560000
8982,22044,US,Falls Church,VA,38.8614780000,-77.1552480000
8983,22046,US,Falls Church,VA,38.8882800000,-77.1809600000
8984,22060,US,Fort Belvoir,VA,38.7106480000,-77.1584880000
8985,22066,US,Great Falls,VA,39.0044480000,-77.3080980000
8986,22067,US,Greenway,VA,38.9712670000,-77.2305480000
8987,22079,US,Lorton,VA,38.6765000000,-77.2068840000
8988,22081,US,Merrifield,VA,38.8742000000,-77.2303000000
8989,22082,US,Merrifield,VA,38.8745000000,-77.2272000000
8990,22095,US,Herndon,VA,38.9696000000,-77.3866000000
8991,22096,US,Reston,VA,38.9627000000,-77.3373000000
8992,22101,US,Mc Lean,VA,38.9358530000,-77.1621410000
8993,22102,US,Mc Lean,VA,38.9599420000,-77.2249020000
