id,postal_cd,country_cd,city_name,state_abbrv,latitude,longitude
11029,27229,US,Candor,NC,35.2562750000,-79.7998240000
11030,27230,US,Cedar Falls,NC,35.7518000000,-79.7317000000
11031,27231,US,Cedar Grove,NC,36.1956520000,-79.1699700000
11032,27233,US,Climax,NC,35.8938970000,-79.6998560000
11033,27235,US,Colfax,NC,36.0958730000,-80.0047100000
11034,27237,US,Cumnock,NC,35.5532000000,-79.2348000000
11035,27239,US,Denton,NC,35.6202570000,-80.0850570000
11036,27242,US,Eagle Springs,NC,35.3340640000,-79.6397000000
11037,27243,US,Efland,NC,36.0658920000,-79.1995670000
11038,27244,US,Elon,NC,36.2048000000,-79.4860890000
11039,27247,US,Ether,NC,35.4403000000,-79.7839000000
11040,27248,US,Franklinville,NC,35.7797640000,-79.7083040000
11041,27249,US,Gibsonville,NC,36.1710530000,-79.5856080000
11042,27252,US,Goldston,NC,35.5640480000,-79.3448920000
11043,27253,US,Graham,NC,35.9672710000,-79.3357490000
11044,27256,US,Gulf,NC,35.5666260000,-79.2827790000
11045,27258,US,Haw River,NC,36.0447680000,-79.3233640000
11046,27259,US,Highfalls,NC,35.4793000000,-79.5233000000
11047,27260,US,High Point,NC,35.9565700000,-79.9927520000
11048,27261,US,High Point,NC,35.9557000000,-80.0057000000
